,,,,,,,,
PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)",Year
Jason Preston,PG,10.82,3.08,3.13,30.5,38.5,-,2021
Joshua Primo,SG,10.97,3.36,3.22,30.5,37.5,-,2021
Roko Prkacin,PF,-,-,-,-,-,-,2021
Neemias Queta,C,11.85,3.5,3.29,27,33,-,2021
Austin Reaves,SG,10.94,3.19,3.07,25,35,-,2021
Jeremiah Robinson-Earl,PF,11.64,3.15,3.29,27,32,-,2021
Terrence Shannon Jr.,SF,11.51,3.12,3.21,32.5,39.5,-,2021
Day'Ron Sharpe,C,-,-,-,-,-,-,2021
Jericho Sims,C,11.59,3.38,3.05,37,44.5,-,2021
Jaden Springer,SG,11.46,3.1,3.13,34.5,41.5,-,2021
DJ Steward,PG,11.14,3.1,3.08,34.5,38.5,-,2021
Cam Thomas,SG,-,-,-,-,-,-,2021
JT Thor,PF,12.19,3.08,3.06,31.5,35,-,2021
Isaiah Todd,PF,11.38,3.25,3.31,28.5,35.5,-,2021
Duane Washington Jr.,SG,11.5,3.06,3.17,29.5,35.5,-,2021
Trendon Watford,PF,11.69,3.23,3.27,28,35,-,2021
Joe Wieskamp,SF,10.7,3.18,3.04,30,42,-,2021
Aaron Wiggins,SG-SF,11.2,3,3.04,29.5,36,-,2021
Ziaire Williams,SF,10.69,3.04,3.12,34,39.5,-,2021
Moses Wright,PF,11.2,3.42,3.15,31.5,38,-,2021
McKinley Wright IV,PG,10.76,3.12,3.08,31.5,38,-,2021
Marcus Zegarowski,PG,11.47,3.26,3.11,30,35.5,-,2021
Precious Achiuwa,PF,-,-,-,-,-,-,2020
Ty-Shon Alexander,SG,11.33,2.47,3.26,28,33,-,2020
Udoka Azubuike,C,11.82,3.61,3.23,37,41,-,2020
Tyler Bey,PF,11.35,2.75,3.17,37,43.5,-,2020
Yoeli Childs,PF,10.87,2.42,3.22,34,38.5,-,2020
Mamadi Diakite,PF,11.95,2.71,3.16,28,37,-,2020
Devon Dotson,PG,10.44,2.22,3.02,31.5,40.5,-,2020
Paul Eboua,SF-PF,10.79,2.44,3.19,33,35.5,-,2020
CJ Elleby,SG-SF,11.25,2.63,3.25,30.5,36.5,-,2020
Trent Forrest,PG,11.04,2.5,3.18,28,34.5,-,2020
Josh Green,SG-SF,10.64,2.28,3.12,30.5,39.5,-,2020
Ashton Hagans,PG,10.82,2.5,3.13,29.5,36.5,-,2020
Joshua Hall,SF,12.16,2.62,3.38,31.5,37.5,-,2020
Jalen Harris,SG,10.59,2.49,3.11,37.5,42.5,-,2020
Markus Howard,PG,11.21,3.17,3.11,30.5,35.5,-,2020
Elijah Hughes,SF-SG,-,-,-,-,-,-,2020
Isaiah Joe,SG,-,-,-,-,-,-,2020
Mason Jones,SG,10.6,2.49,3.33,24,31,-,2020
Nathan Knight,PF-C,11.56,2.96,3.31,23,31.5,-,2020
Theo Maledon,PG,-,-,-,-,-,-,2020
Karim Mane,PG-SG,11.52,2.64,3.04,31,36,-,2020
Naji Marshall,SF,11.77,2.9,3.37,28.5,35,-,2020
Kenyon Martin Jr.,SF-PF,11.93,2.58,3.16,31.5,38.5,-,2020
Skylar Mays,SG,10.65,2.4,3.3,29,37.5,-,2020
Zeke Nnaji,PF-C,10.94,2.72,3.2,33,38,-,2020
Jordan Nwora,SF-PF,11.29,2.66,3.43,29,35,-,2020
Reggie Perry,PF-C,11.26,2.57,3.25,30,33.5,-,2020
Myles Powell,PG-SG,-,-,-,-,-,-,2020
Immanuel Quickley,SG,11.21,2.46,3.17,29.5,35.5,-,2020
Jahmi'us Ramsey,SG,-,-,-,-,-,-,2020
Paul Reed Jr.,PF,12.29,2.67,3.45,26.5,37.5,-,2020
Nick Richards,C,11.42,2.92,3.25,30,34,-,2020
Grant Riller,PG-SG,11.17,2.45,3.07,32.5,39.5,-,2020
Jayden Scrubb,SG-SF,-,-,-,-,-,-,2020
Jalen Smith,PF-C,-,-,-,-,-,-,2020
Cassius Stanley,SG,11.4,2.43,3.09,34.5,44,-,2020
Lamar Stevens,SF-PF,10.35,2.54,3.2,35,41,-,2020
Isaiah Stewart,C,-,-,-,-,-,-,2020
Tyrell Terry,PG,10.78,2.59,3.28,30,34,-,2020
Killian Tillie,PF,11.6,2.62,3.4,27.5,32,-,2020
Xavier Tillman Sr.,PF-C,11.8,3.01,3.49,26,32.5,-,2020
Kaleb Wesson,C,11.73,2.64,3.6,21.5,27,-,2020
Kahlil Whitney,SF,11.17,2.61,3.28,29,39,-,2020
Cassius Winston,PG,11.15,2.74,3.61,24,28,-,2020
Robert Woodard II,SF,11.1,2.49,3.18,32,38,-,2020
Nickeil Alexander-Walker,SG,-,-,-,-,-,-,2019
RJ Barrett,SF,-,-,-,-,-,-,2019
Charles Bassey,C,12.65,3.27,3.53,29,33,7,2019
Darius Bazley,PF,11.09,2.95,3.27,30.5,37,4,2019
Bol Bol,C,-,-,-,-,-,-,2019
Jordan Bone,SG,9.97,2.78,3.08,36,42.5,7,2019
Brian Bowen II,SF,10.98,3.21,3.26,32,35.5,1,2019
Ky Bowman,PG,11.11,3.11,3.26,27.5,33,4,2019
Ignas Brazdeikis,SF,11.06,3.17,3.36,31,36.5,13,2019
O'Shae Brissett,SF-PF,11.3,3.18,3.48,34,37.5,11,2019
Moses Brown,C,11.95,3.3,3.51,27,31,-,2019
Brandon Clarke,SF,10.61,3.05,3.15,34,40.5,10,2019
Nicolas Claxton,C,11.26,3.47,3.36,31.5,36.5,8,2019
Tyler Cook,PF,11.32,3.1,3.28,27.5,32,11,2019
Jarrett Culver,SG,-,-,-,-,-,-,2019
Terence Davis,SG,10.69,2.96,3.28,29.5,34,13,2019
Luguentz Dort,PG,10.79,3.13,3.22,32.5,38,14,2019
Devon Dotson,PG,10.63,2.8,3.04,30,38.5,7,2019
Carsen Edwards,PG,10.53,2.82,3.22,28.5,34,14,2019
Tacko Fall,C,13.01,3.46,3.78,22,26.5,8,2019
Bruno Fernando,C,11.29,3.05,3.21,29.5,33.5,13,2019
Daniel Gafford,PF,11.61,3.19,3.25,32.5,36.5,5,2019
Darius Garland,PG,-,-,-,-,-,-,2019
Quentin Grimes,SG,10.83,3.28,3.2,27.5,36,6,2019
Kyle Guy,SG,10.48,3.07,3.27,30.5,36.5,4,2019
Jaylen Hands,PG,10.73,3.03,3.12,33,41.5,6,2019
Jared Harper,PG,10.77,3.02,3.04,33.5,40.5,8,2019
Jaxson Hayes,PF,11.74,3.23,3.37,27,34.5,5,2019
Dewan Hernandez,C,11.46,3.25,3.28,30.5,35.5,13,2019
Tyler Herro,SG,-,-,-,-,-,-,2019
Jalen Hoard,PF,11.44,3.32,3.34,27.5,35.5,8,2019
Talen Horton-Tucker,SG,11.34,3.43,3.34,26,34.5,10,2019
De'Andre Hunter,,-,-,-,-,-,-,2019
DaQuan Jeffries,SF-PF,-,-,-,-,-,-,2019
Ty Jerome,PG,11.21,3.12,3.4,26,31.5,2,2019
Keldon Johnson,SG,-,-,-,-,-,-,2019
Cameron Johnson,SG,10.52,3.28,3.26,30.5,36.5,-,2019
Mfiondu Kabengele,PF,11.21,3.3,3.25,28,35.5,6,2019
Louis King,SF,10.99,3.05,3.28,29,33,-,2019
Romeo Langford,SG,-,-,-,-,-,-,2019
Dedric Lawson,PF,11.8,3.54,3.6,23.5,26,10,2019
Jalen Lecque,PG,11.09,3.3,3.29,35,43,1,2019
Nassir Little,SF,12.15,3.1,3.24,31,38.5,5,2019
Terance Mann,SG-SF,11.51,3.14,3.3,32.5,38.5,6,2019
Cody Martin,PG-SG,10.44,2.99,3.32,28,35.5,7,2019
Charles Matthews,SG,11.26,3.24,3.38,29.5,37.5,9,2019
Jalen McDaniels,SF,11.54,3.23,3.32,29.5,33.5,-,2019
Ja Morant,PG,-,-,-,-,-,-,2019
Zach Norvell Jr.,SG,11.6,3.34,3.43,24,30,-,2019
Jaylen Nowell,SG,10.76,3.13,3.23,32,38.5,2,2019
Jordan Nwora,PF,-,-,-,-,-,-,2019
Chuma Okeke,,-,-,-,-,-,-,2019
KZ Okpala,SF,10.88,3.13,3.38,30.5,37,9,2019
Miye Oni,SG,11.71,3.12,3.17,30.5,38.5,19,2019
Eric Paschall,SF,11.63,3.26,3.3,33,38,18,2019
Reggie Perry,SF-PF,12.46,3.4,3.3,28.5,31.5,15,2019
Shamorie Ponds,PG,11.01,3.07,3.2,29,37,-,2019
Jordan Poole,SG,10.59,3.14,3.27,28,35.5,-,2019
Jontay Porter,PF,-,-,-,-,-,-,2019
Kevin Porter Jr.,SG,10.82,3.03,3.14,27,34,2,2019
Neemias Queta,C,12.04,3.45,3.73,24,32.5,1,2019
Cameron Reddish,SF,-,-,-,-,-,-,2019
Naz Reid,PF,12.03,3.76,3.42,26,32.5,3,2019
Isaiah Roby,PF,10.63,3.05,3.25,32.5,35.5,9,2019
Luka Samanic,PF,11.01,3.03,3.27,27,38,7,2019
Admiral Schofield,SF,10.77,2.87,3.37,30,34,15,2019
Marial Shayok,SF-PF,11.16,3.04,3.37,29.5,36.5,9,2019
Simisola Shittu,PF,11.85,3.24,3.3,27,35.5,11,2019
Killian Tillie,,-,-,-,-,-,-,2019
P.J. Washington,PF,-,-,-,-,-,-,2019
Tremont Waters,PG,10.76,3.11,3.07,30.5,40.5,5,2019
Quinndary Weatherspoon,SG,11.57,3.15,3.16,31,38,-,2019
Coby White,PG,-,-,-,-,-,-,2019
Kris Wilkes,SF,10.39,3.09,3.34,27.5,35,4,2019
Grant Williams,PF,10.83,3.27,3.33,26,31.5,20,2019
Zion Williamson,PF,-,-,-,-,-,-,2019
Dylan Windler,SF,10.7,2.94,3.3,29,37.5,8,2019
Rawle Alkins,SG,11.5,3.09,3.15,32.5,40.5,10,2018
Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-,2018
Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35,-,2018
Udoka Azubuike,C,12.97,3.65,3.12,31,31.5,11,2018
Mohamed Bamba,C,-,-,-,-,-,-,2018
Jaylen Barford,PG-SG,11.39,3.21,3.31,27,33,7,2018
Keita Bates-Diop,SG-SF,11.2,3.28,3.17,30.5,35,11,2018
Tyus Battle,SG,11.04,2.87,3.07,32,37.5,9,2018
Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34,-,2018
Miles Bridges,SF,-,-,-,-,-,-,2018
Bruce Brown,SG-PG,11.11,3.44,3.2,32.5,38,17,2018
Troy Brown,SF,11.51,3.29,3.33,26,33,5,2018
Jalen Brunson,PG,10.59,3.11,3.15,29,37,7,2018
Tony Carr,PG,11.89,3.4,3.17,25,31.5,-,2018
Jevon Carter,PG,11.04,3.05,3.18,29,36.5,14,2018
Wendell Carter,C-PF,-,-,-,-,-,-,2018
Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42,12,2018
Hamidou Diallo,SG,10.53,3.14,3.1,32.5,40.5,1,2018
Trevon Duval,PG,10.93,3.09,3.18,34,41.5,6,2018
Carsen Edwards,PG,11.59,3.15,3.2,28.5,34.5,12,2018
Keenan Evans,PG,-,-,-,-,-,-,2018
Jacob Evans,SG-SF,11.11,3.14,3.2,28,35.5,8,2018
Bruno Fernando,C,12.19,3.03,3.23,29,35,11,2018
Melvin Frazier,SF-SG,11.24,3.08,3.08,31,40.5,-,2018
Shai Gilgeous-Alexander,PG,-,-,-,-,-,-,2018
Devonte Graham,PG,11.28,3.15,3.21,31,37,14,2018
Isaac Haas,C,-,-,-,-,-,-,2018
Devon Hall,SG,10.95,3.16,3.27,25,31,6,2018
Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6,2018
Kevin Hervey,PF,11.28,3.15,3.36,27.5,32,4,2018
Aaron Holiday,PG,10.96,3.22,3.27,25.5,33,-,2018
Kevin Huerter,SG,10.89,2.97,3.09,31,38,9,2018
Jaren Jackson,PF-C,-,-,-,-,-,-,2018
Justin Jackson,PF,-,-,-,-,-,-,2018
Alize Johnson,PF,11.83,3.28,3.38,25,31,8,2018
George King,SF-SG,10.75,3.08,3.29,31,39,15,2018
Kevin Knox,SF,-,-,-,-,-,-,2018
Sagaba Konate,C,12.28,3.36,3.28,31.5,35,12,2018
Caleb Martin,SF-SG,10.43,2.75,3.26,29,36.5,6,2018
Cody Martin,SG-SF,10.64,3.05,3.09,29,36.5,4,2018
Yante Maten,PF-C,11.35,3.13,3.17,27,31.5,18,2018
Brandon McCoy,C,11.77,3.31,3.23,27.5,32,9,2018
DeAnthony Melton,SG-PG,11.48,3.33,3.23,31,36.5,1,2018
Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36,5,2018
Shake Milton,SG-PG,11.07,3.19,3.25,30,33,2,2018
Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37,4,2018
Malik Newman,SG,10.9,3.18,3.13,27.5,33.5,-,2018
Josh Okogie,SG,11.08,3.03,3.04,33,42,12,2018
Theo Pinson,SG-SF,11.53,3.11,3.22,27,34,7,2018
Jontay Porter,C-PF,11.9,3.07,3.4,25.5,31,9,2018
Michael Porter,SF-PF,-,-,-,-,-,-,2018
Billy Preston,PF,11.26,3.35,3.2,25,33,-,2018
Jerome Robinson,SG,-,-,-,-,-,-,2018
Collin Sexton,PG,-,-,-,-,-,-,2018
